id,question_processed,answer_processed,dataset
5732c242d6dcfa19001e8aa2,why do some cops use bicycles to patrol?,they allow for more open interaction with the public,squad2
3813739141053305529,briefly outline the positive effects of the 1994 development strategy in south africa?,"to address the socio - economic consequences of apartheid , including alleviating poverty and addressing the massive shortfalls in social services across the country",naturalquestions
4553345462839330887,most common cause of death in burn patients?,infections,naturalquestions
168401,does lithium cause hunger,"no, lithium does not cause hunger.",msmarco
57282afc4b864d1900164647,how did semmelweis reduce puerperal fever?,requiring physicians to wash their hands,squad2
3998927,why does a carbon monoxide alarm go off?,your carbon monoxide alarm is going off for one of the following reasons: it is doing its job properly and detects co pollution in the air. it is a false alarm caused by other household items. the detector is malfunctioning or the batteries need changing.,gooaq
1065296,why do ovarian cysts cause bloating,"ovarian cysts may cause the feeling of bloating, this may be due to fluid leaking from the cysts and pelvic inflammation as a result of the cysts.",msmarco
3955135,why are cats pupils oval?,cats and other animals that are active in the day and night have pupils shaped like vertical slits because that shape allows the pupil to change size much faster than the round pupils we humans have.,gooaq
572f880804bcaa1900d76a57,how did the events of the seven years' war affects the production of art?,"generated a vast number of ballads, broadsides, images, and novels",squad2
717dvz,"Why do we ""enjoy"" sad things? Sad songs, depressing movies and literature, etc?","They express emotions that are already present in the audience, allowing for catharsis (the sense of emotional release and closure) without the personal cost of doing it in real life.

The audience is able to take what they want out of the art and leave the cost behind in the nonexistent, fictional world - or, more truthfully, in the artist who suffered to create it.",eli5
666089,what happens if you eat too much tamarind,the enamel of your teeth is likely to get corroded by its acid component. too much tamarind is extremely bad for the health as well as for the look of your teeth.,msmarco
7537403336672888493,why did the united states pursue a policy of containment?,prevent the spread of communism,naturalquestions
588870,what causes immediate diarrhea after eating,viral gastroenteritis or food poisoning,msmarco
758949,can syphilis cause a sore throat?,"in addition to rashes, symptoms of secondary syphilis may include fever, swollen lymph glands, sore throat, patchy hair loss, headaches, weight loss, muscle aches, and fatigue. the symptoms of secondary syphilis will go away with or without treatment.",gooaq
65221,can bursitis cause numbness,yes,msmarco
4007347,why does obgyn strip membranes?,"it involves your doctor sweeping their (gloved) finger between the thin membranes of the amniotic sac in your uterus. it's also known as a membrane sweep. this motion helps separate the sac. it stimulates prostaglandins, compounds that act like hormones and can control certain processes in the body.",gooaq
2993915,what causes little sores in the corner of your mouth?,"there are several different causes of angular cheilitis. the most common is yeast infection as a result of saliva. saliva can build up and get trapped in the corners of the lips, which causes lips to crack. a person may lick their lips more in an attempt to soothe the pain or dryness of their lips.",gooaq
56e0f770231d4119001ac501,how did us president kennedy die?,assassination,squad2
587810,what causes fat ankles?,genetics or being overweight,msmarco
591153,what causes razor bumps,hair removal methods may cause razor bumps.,msmarco
581435,what can cause prostatitis,"it is caused due to bacterial infection, auto-immune response or disordered immune response, neuromuscular, tension or physical injury problem.",msmarco
4608261235771618820,where was the epicenter of the earthquake that caused the 2004 tsunami?,"off the west coast of sumatra , indonesia",naturalquestions
4l9y1s,Why do high speed cameras record in lower resolution at faster framerates? ,"Because the memory taken up by an image is a function of resolution. You can reduce it with compression, but compression takes time. Both computing time and memory cost money, especially if you want to make it small and run of batteries. Thus most high speed cameras compromise on resolution to fit more frames in the buffer and write to memory.",eli5
758198,can stress cause a stroke?,"heart disease, stroke and stress stress can cause the heart to work harder, increase blood pressure, and increase sugar and fat levels in the blood. these things, in turn, can increase the risk of clots forming and travelling to the heart or brain, causing a heart attack or stroke.",gooaq
4044233,why load javascript at the bottom?,"when you place your javascript links at the bottom of your html body, it gives the html time to load before any of the javascript loads, which can prevent errors, and speed up website response time.",gooaq
68043,can hepatocellular carcinoma cause cirrhosis,"yes, hcc is most commonly caused by cirrhosis of the liver.",msmarco
4061301,why was the zemstvo important?,"zemstvo, organ of rural self-government in the russian empire and ukraine; established in 1864 to provide social and economic services, it became a significant liberal influence within imperial russia.",gooaq
3458745,what is the effect of too much vitamin b?,"a minimum daily dose of each vitamin is necessary to maintain good health. significantly exceeding this dose, however, can cause illness. in general, the symptoms of vitamin toxicity include nausea, gastrointestinal problems like constipation and diarrhea, hair loss, rashes, and nerve damage.",gooaq
57270105dd62a815002e9773,why do marginal crevasses form on the edge of a glacier?,reduction in speed caused by friction of the valley walls,squad2
208384282539902012,why there are 29 days in february in a leap year?,"because a complete revolution around the sun takes approximately 6 hours longer than 365 days ( 8,760 hours )",naturalquestions
3485966,what is the main cause of conflict between the sunni and shia?,"they chose sides following the death of the islamic prophet muhammad in ad 632. a dispute over succession to islamic prophet muhammad as a caliph of the islamic community spread across various parts of the world, which led to the battle of jamal and battle of siffin.",gooaq
212970,how did boris yeltsin die,because of sudden heart failure.,msmarco
4064249,why you should drink warm lemon water every morning?,"drinking lemon water first thing in the morning, helps wake up your liver and stimulate proper stomach acid production and bile production to aid in digestion. an immunity boost. lemons are a good source of vitamin c, magnesium, and potassium.",gooaq
683888,can antibiotics cause oral thrush in adults?,"drugs such as prednisone, inhaled corticosteroids, or antibiotics that disturb the natural balance of microorganisms in your body can increase your risk of oral thrush. other oral conditions. wearing dentures, especially upper dentures, or having conditions that cause dry mouth can increase the risk of oral thrush.",gooaq
1099235,how does fibroids affect your period,"uterine fibroids affect your period by causing prolonged menstrual bleeding that can eventually lead to anemia, irregular menstrual bleeding, painful menstrual cramping, pelvic pain, pelvic pressure, frequent urination, constipation, painful intercourse and even infertility.",msmarco
2njlxl,Why does hot air (from a hand-dryer) feel cold on wet hands? ,"This has to do with a principle called evapotranspiration. Essentially evaporation. Your hands, when wet, are incredibly humid (100%), whereas the air around them is decidedly less so (5-30% depending on where you are). When you sweat and it evaporates it is because of two things; the first is that you are heating the sweat on your skin, and the second is that your skin is more humid than the air around it. This creates ideal conditions for heat to enter the sweat, then to leave your skin in the evaporated sweat. The same idea applies here. Heat is entering the water on your hands, and then being removed by the drier. So even though the air is warm the heat in your hands is being pulled out of them giving the sensation of being cold.",eli5
7821879268235992977,how did operation cartwheel influence subsequent operations in the pacific?,sever the japanese lines of supply and communication,naturalquestions
4323918808408034997,how does the sympathetic nervous system affect the lungs?,dilates bronchioles via circulating adrenaline,naturalquestions
985553,does drinking a lot of water affect your kidneys?,"although uncommon, it's possible to drink too much water. when your kidneys can't excrete the excess water, the sodium content of your blood is diluted (hyponatremia) — which can be life-threatening.",gooaq
bm2d6k,"Why do gloves, as an example, not work with the touchscreen on my smartphone, but a banana peel does? Never quite understood this.","The banana can conduct electricity as it contains water, the glove can’t. That’s why some gloves have little bits of wire woven into the tips of the fingers to allow electricity to flow.",eli5
56fc88d898e8fc14001ea7d3,the phonetical similarity of what thing causes disagreements between linguists?,allophones,squad2
75383,can vitamin deficiency cause tremors,"yes, vitamin b1,and vitamin b12 deficiency can lead to tremors,",msmarco
-5956705955734879831,how much was the tax that caused the boston tea party?,three pence,naturalquestions
570f541b80d9841400ab3591,what gene needs to be deleted to cause obesity in mice?,rev-erba alpha clock,squad2
573192bca5e9cc1400cdc0e7,why has production automation become popular?,high cost of labor in developed countries,squad2
72472,can plasmapheresis cause anemia,"no, it is a treatments for hemolytic anemia.",msmarco
874390,do blood pressure medications cause frequent urination?,"how can diuretic use cause frequent urination? diuretics, or medications used to treat high blood pressure or fluid buildup, work in the kidney and flush excess fluid from the body. this causes frequent urination.",gooaq
8848881984366955043,why did the middle eastern nations slow oil production in 1973 causing an oil crisis?,nations perceived as supporting israel during the yom kippur war,naturalquestions
56e6dd2bde9d3714000680a0,why are adult standards format radio stations declining?,aging demographics,squad2
3987926,why did the boston massacre happen in boston?,"the tensions that led to the boston massacre were the product of the occupation of boston by redcoats in 1768. redcoats were sent to boston to quell riots in the wake of the townsend duties and to protect customs officials. with 2,000 soldiers occupying a town with a population of about 16,000, friction was inevitable.",gooaq
5mjcg8,Why does soap react to warm water better than in colder water?,The heat energy from the warm water causes the soap to chemically react at a faster rate than if it were in cold water. The heat causes the water molecules to vibrate faster and thus collide with the soap molecules more often.,eli5
2255530414399249638,what happens if someone gets a red card in the world cup?,any player sanctioned with a red card was sent off from the pitch and could not be replaced,naturalquestions
571a6bf210f8ca1400305016,what part of the brain is not fully developed in infants which can cause the memory differences in ages?,the dentate gyrus of the hippocampus and the frontal components of the neural network are not fully developed,squad2
akpymz,Why does hot water make our skin dry?,"Hot water causes the pores (small holes) in your skin to open, allowing the oils which keep it hydrated to escape. Also, the heat from the water liquifies the oils (like melting butter) so they flow more easily. This is why taking lukewarm baths/showers is supposed to be better for your skin",eli5
56e757c000c9c71400d76fdd,would those in favor of dst argue that it causes people to use more electricity or saves energy?,saves energy,squad2
588492,what causes headache after sex,"medications including some birth control pills,intracranial aneurysm: dilation or bubble within an artery in the head, inflammation due to some infections.",msmarco
572e9091cb0c0d14000f12ab,what causes a quarter to be extended one additional play even if time has run out?,penalty,squad2
4009395,why does your heart rate increase when hungover?,"alcohol withdrawal some experts believe that at least some of the symptoms of a hangover, such as sweating, anxiety, tremors and increased heart rate, are due to the effects of withdrawing from alcohol. your nervous system may need to re-adjust as your blood alcohol level returns to zero.",gooaq
4b7cje,"If you have a two way mirror with a one way mirror right behind it to produce an infinite tunnel, why would angling it up or down make the tunnel appear to curve instead of just as a straight tunnel? ","If you angled one of the mirrors by, say, 2 degrees, each reflection would be ""off"" by two degrees more than the reflection before it. You would, in this case, see a reflection at 2 degrees then at 4 degrees. I'm not sure of the exact equation, but it's not 2, 4, 6, 8 degrees, but rather a progression like 2, 4, 8, 16, et cetera. The logarithmic curve of this progression would cause the 'curve' in the 'tunnel'.",eli5
1234868,how long after eating dairy does it affect lactose intolerance?,"the signs and symptoms of lactose intolerance usually begin from 30 minutes to two hours after eating or drinking foods that contain lactose. common signs and symptoms include: diarrhea. nausea, and sometimes, vomiting.",gooaq
4054184,why sitting all day is bad?,"sitting or lying down for too long increases your risk of chronic health problems, such as heart disease, diabetes and some cancers. too much sitting can also be bad for your mental health. being active is not as hard as you think. there are lots of simple ways to include some physical activity in your day.",gooaq
1066781,why does coronary artery disease cause chest pain,a common symptom of coronary heart disease (chd) is angina. angina is chest pain or discomfort that occurs if an area of your heart muscle doesn't get enough oxygen-rich blood.,msmarco
1opqyn,Why do animal eyes reflect light at night but human eyes don't? ,"Many animals have a special reflective layer in their eyes to improve night time vision.  Humans don't have this special layer, although you will see Red Eye in photo's whre the flash is bright enough to reflect off the actual retina.",eli5
1912299099159536744,why did the first world war broke out?,"assassination of archduke franz ferdinand of austria , heir to the throne of austria - hungary , by yugoslav nationalist gavrilo princip in sarajevo on 28 june 1914",naturalquestions
5727746d708984140094de08,"in 1264 ad, what caused the kyburg dynasty to fall?",extinction of its male line in 1263,squad2
6663202526190048131,why did the bush administration create the department of homeland security?,as a response to the september 11 attacks in 2001,naturalquestions
1069513,why is battery icon on iphone yellow?,when low power mode is enabled the iphone battery icon is yellow.,msmarco
4013639,why ghee is bad for you?,"ghee is almost 50 percent saturated fat. a diet filled with saturated fat can raise ldl (bad) cholesterol levels and in turn, up the risk of heart disease and stroke. not to mention, the calories from saturated fat can contribute to weight gain.",gooaq
3xrshl,"Why do American sports (e.g. American Football, Basketball) have quarters whereas most European sports (e.g. Football) only have halves? ","One reason for quarters in American football: wind and field conditions. If a team has to throw/pass the football into a stiff wind, then their offense will suffer. Likewise, one end of the football field might be muddier and harder on the offense. So at the end of each quarter, both teams switch which direction they play on the field to make things more fair.",eli5
5726ac06dd62a815002e8c8d,what is one reason that has caused many of the birds of norfolk island to become extinct?,massive clearance of the island's native vegetation,squad2
5726d1f5f1498d1400e8ec49,why should lactating women increase their water consumption?,to compensate for additional fluid output,squad2
57323c07e17f3d140042275e,"why do jehovah witnesses reject inherent immortality of the soul, hellfire and trinitarianism?",they consider to be unscriptural doctrines,squad2
5730338eb2c2fd1400568a62,why are older neighborhoods in san diego popular with cyclists?,the grid street patterns,squad2
591258,what causes ridges in nails vertical ridges,"vertical ridges can also be caused by nail injury, certain illnesses, including rheumatoid arthritis and iron deficiency anemia.",msmarco
56df0afa3277331400b4d90d,what happens if a pope is elected who is not a bishop?,"he is consecrated by the dean of the college of cardinals, the cardinal bishop of ostia.",squad2
-6733513726045992756,why did the lone ranger wear a mask?,to conceal his identity and honor his fallen brother,naturalquestions
-7565558573397360426,what is the main cause of coral reef bleaching?,above - average sea water temperatures caused by global warming,naturalquestions
7893260,what happens if i tag someone who doesn't follow me?,"private - when you tag someone in a post, who doesn't follow you and you are having a private account, they won't receive any notification whatsoever and won't be able to view your post as you have restricted them by using a private account.",gooaq
591350,what causes rusting,"rust is an iron oxide, usually red oxide formed by the redox reaction of iron and oxygen in the presence of water or air moisture.",msmarco
1ye7xl,Why cant endangered/vulnerable animal species like koalas be domesticated to preserve their numbers? ,"Domestication would take generations of breeding, which causes several problems. First, quite a few would have to be taken out of their habitat to find those with traits most suitable for domestic life, which is a problem considering their already small numbers. Second, even if their numbers did grow, domesticated koalas (or other animals) would never be able to live in the wild due to them being naturally reliant on human habitats, so their numbers in the wild would never be helped. That is the main reason we wish to save endangered animals that have been effected by humans, so the habitat doesn't become dangerously unbalanced due to their absence. Also, keep in mind the difference between domesticated animals, like dogs and cats, and tamed animals, like pet monkeys.

The better solution is to use currently captive koalas to breed, and then bring their offspring up in an environment that is close to how they naturally live. However, this has historically been a tough endeavor because we often know relatively little about how and when the offspring of endangered species naturally learn the skills they need to survive in the wild.",eli5
55ieed,Why are objects in (old) cartoons that will be animated drawn differently and so easily noticable? Usually they are lighter or more sharp drawn compared to the rest of the scene.,"Old cartoons were hand-drawn on transparencies. Usually, there was a background artist who painted the background, then another artist who just drew the animated figure on a set of transparencies, one per object. These were then stacked together and photographed to make the frame. When the two artists didn't exactly match up on the lighting, or when the transparencies distorted the color of the layers below, you got the effect of ""movable"" objects standing out from the rest.",eli5
57290ceeaf94a219006a9fd8,why are variations distributed along clines?,isolation by distance,squad2
1245858321730391642,why does temperature increase with height in thermosphere?,due to absorption of highly energetic solar radiation,naturalquestions
57270a05708984140094d8e3,what is the effect called when capacitors absorb sound waves?,microphonic effect,squad2
