id,question_processed,answer_processed,dataset
66303,can dehydration cause kidney damage,"yes,dehydration may lead to permanent kidney damage.",msmarco
5ab4860b5542991751b4d7a3,"which causes did yuri kochiyama advocate that promoted this subcategory of black nationalism, stemming from the idea of racial solidarity?",black separatism,hotpotqa
306605,what was the cause of bismarck's health problems,gangrene in his foot,paq
qg_581,rickets is caused by a lack of what essential element?,calcium	calcium supplements	calcium ion	factor 4	calcium ions	ca(2+)	kalcium	factor iv	calcium	element 20	calium	calcium compounds	calcium supplement	ca+2	h and k lines	calcium supplementation,triviaqa
qw_13453,what usually causes the bone disease called rickets?,a deficiency of vitamin d,triviaqa
./cnn/stories/fc414216497fbc37258276f1ff9e64cceedf4225.story,what lead to an arrest in 1990 rape case?,"his dna was found on underwear left behind,",newsqa
592478,what causes tendon [pain in the foot,foot and ankle tendonitis,msmarco
-5052783935813135377,what gas in the stratosphere causes temperatures to increase with altitude?,ozone,naturalquestions
1700733897006170137,where will failure of the left ventricle cause increased pressure?,the pulmonary venous system,naturalquestions
4008956,why does vaseline burn my lips?,"allergic reactions to vaseline are rare, though they can occur. signs of an allergic reaction include swelling of the lips and a burning or stinging sensation. if your lips are chapped to the point of bleeding, vaseline that's been contaminated with bacteria from your fingers could cause an allergic reaction.",gooaq
1441307240433773769,why did rome need to acquire new land through military expansion?,plunder economy,naturalquestions
5a800f695542992bc0c4a697,which physicist caused major advances in biochemistry with solomon berson and also was a co-winner o f the 1977 nobel prize in medicine?,rosalyn sussman yalow,hotpotqa
3950047,why alkali metal is good conductor of electricity?,"you can see that alkali metal have only one electron in outer shell . hence they have more tendency to loss this electron and form stable ion . it means ionization enthalpy of alkali metal low . due to low ionization enthalpy , and incomplete octet , alkali metals show good conductor of electricity .",gooaq
5a89202e5542993b751ca915,"what is the name of the bacterium that causes the smell of the cheese, of which churul is said to resemble in taste?","""brevibacterium linens""",hotpotqa
761673,can thyroid problems lead to miscarriage?,"if you've been diagnosed with hypothyroidism — or an underactive thyroid — you may be wondering if it may cause problems during pregnancy or even a miscarriage. in fact, hypothyroidism is linked to miscarriages so it's important to be able to recognize the signs of this condition.",gooaq
./cnn/stories/150277be5f77a137278ba9651d0052853e0af9bf.story,what is said to have caused piracy?,environmental and political events.,newsqa
./cnn/stories/3becc221d2b5e9a2c3a20ccd587e9ee15a9b8023.story,how many children were left orphaned because of what happened?,10,newsqa
5ab67cea55429953192ad2d5,the chamizal dispute was caused by a shift in which one of the principal rivers in the southwest united states and northern mexico?,rio grande,hotpotqa
11752625,why is the garchuk lachit garh heritage site destroyed,illegal encroachment,paq
./cnn/stories/8ee18b07b0be44484fc35742c2bef618699aa19c.story,what is the name of the economic condition that causes basic goods to cost millions of currency units?,inflation,newsqa
56e0285a231d4119001abf66,why was dinuzulu kacetshwayo imprisoned on the island?,leading a zulu army against british rule,squad2
bt_1384,who was the model who first caused a storm modelling the wonderbra,eva herzigova	eva herzegova	eva herzigova	eva herzigová	george marsiaj herzig,triviaqa
5a8f78b25542995b4424204d,"hamlet, also known as hamlet 2000, is a 2000 american drama film written and directed by michael almereyda, set in contemporary new york city, and based on the shakespeare play of the same name, steve zahn acted as rosencrantz, which are two characters in william shakespeare's tragedy ""hamlet"", childhood friends of hamlet, summoned by king claudius to distract the prince from his apparent madness and if possible to ascertain the cause of it?",rosencrantz and guildenstern,hotpotqa
3991531,why do i feel like i have bugs crawling on my face?,"what is formication? formication is the feeling of insects crawling across or underneath your skin. the name comes from the latin word “formica,”which means ant. formication is known as a type of paresthesia.",gooaq
583741,what cause cramps in toes,"it can be the result of a deficiency in potassium. when cramping is severe or occurs frequently, it can be a sign of a deficiency of important minerals or vitamins.",msmarco
./cnn/stories/beb7bdd63a3c43f39372fc75cb9d1e40932d6993.story,what caused inclusion of homegrown terrorism?,a spate of terror-related plots in the united states recently,newsqa
./cnn/stories/e5dedf6c37d4f953e4197ed9d7869e96bdfa7d88.story,what caused demostrations on tursday?,education budget,newsqa
5ab3b7c555429969a97a8190,"on what date did the geological event, that caused the 2011 japanese motorcycle grand prix to be rescheduled, take place ?","11 march 2011,",hotpotqa
./cnn/stories/1700d071bb6a347283ad4067bf7c9a987bd361c5.story,what caused a man to suffer frostbite?,"shoveling outside his home without gloves for 45 minutes in minus-17-degree weather, williams suffered second-degree",newsqa
4052490,why rooh afza is not available in india?,"hamdard laboratories (india), the manufacturer of rooh afza, had stopped production of the drink in november last year citing the shortage of crucial herbal ingredients, the economic times reported. ... sales of rooh afza grow 25 percent during the month.",gooaq
5726bbb5f1498d1400e8e959,what did the us air force's daytime attacks cause the kpa to do?,to hide in tunnels by day and move only at night,squad2
./cnn/stories/5187470febb0ff18d4b8cf6474ff38cdd947fa08.story,what caused the rates of luxury hotels in las vegas to drop by 30%?,the recession,newsqa
17932707,what do small splashes of dust cause in candy making,burns,paq
57324c04e17f3d1400422807,what did patton do that first caused eisenhower to reprimand him?,slapped a subordinate,squad2
1990576,what caused james hunt to pass away,heart attack,paq
qz_825,the book the satanic verses by salman rushdie caused controversy after it was claimed it was blasphemous against which religion?,islam,triviaqa
53076,napoleon invades russia; causes problems for natasha; leaves,"""war and peace""",searchqa
17517143,what is the main cause of variation in tatuidris species,size,paq
