id,question_processed,answer_processed,dataset
-3277793448450335456,why did the united states approach the ussr with a policy of containment?,to prevent the spread of communism,naturalquestions
1007440,which condition causes a steeple sign on x-ray?,viral infection of the upper airway usually parainfluenza virus or respiratory syncytial virus (rsv).,msmarco
57313386e6313a140071cd04,what was the leading cause of death for the native population after european contact?,disease,squad2
3hms8m,"Why does a paramedic shout ""Clear!"" before using a defibrillator? ","They want to make sure no one is touching the patient, because then that person would get shocked.",eli5
741701,can neck pain cause nausea and dizziness?,"poor neck posture, neck disorders, or trauma to the cervical spine cause this condition. cervical vertigo often results from a head injury that disrupts head and neck alignment, or whiplash. this dizziness most often occurs after moving your neck, and can also affect your sense of balance and concentration.",gooaq
3654767,what to do if your dog is vomiting and has diarrhea?,"it's a good idea to offer your pet a bland diet for a couple of days following an episode of vomiting and/or diarrhoea. it is best to feed smaller sized meals more regularly until your pet is back to normal. you can then gradually reintroduce their usual diet. in most cases, your pet should recover without a problem.",gooaq
3973475,why are some wines not kosher?,"requirements for being kosher. because of wine's special role in many non-jewish religions, the kashrut laws specify that wine cannot be considered kosher if it might have been used for idolatry. ... wine that is described as ""kosher for passover"" must have been kept free from contact with chametz and kitnios.",gooaq
65179,can bug bites cause dogs ear to swell,"yes, insect stings or bites on dogs can cause swelling of the ear flaps.",msmarco
2928528,what are the side effects of taking yakult?,"they can trigger an allergic reaction. they might cause mild stomach problems, especially the first few days you start taking them. you might have stomach upset, gas, diarrhea, or bloating. those symptoms usually go away after your body gets used to them.",gooaq
-1241086191466831017,why long run cost curve is flatter than short run cost curve?,increased input flexibility as to cost minimization,naturalquestions
3g8stm,Why flies fly towards to light? ,"Many insects navigate by the sun. Since the sun is so far away from them it will stay in relatively the same place in the sky for an extended period of time. If they keep the sun in the same place in relation to their body they can then fly in more or less a straight line. When its dark and they cant see the sun, though, artificial lights become much more prominent. They basically confuse the light from something like your porch light with the sun. Since they are very close to it, though, as they fly past it it moves very quickly. In an attempt to keep the light in the same place in relation to their bodies they end up circling around it.",eli5
572a30906aef05140015534d,what societal trend was the cause of permanent homes?,the growth of agriculture,squad2
656605,what effect does a vitamin d deficiency have,"arthritis of the bones and joints, jitteryness, hyperactivity, insomnia, anxiety, heart palpitations, muscle cramps, young children can suffer from rickets.",msmarco
1061663,why can't i eat before surgery,"i can't eat before surgery because an appropriate fasting period prior to surgery using anesthesia is essential for a person’s safety. prior to the scheduled surgery, people are usually recommended to eat or drink nothing for at least 6 hours and preferably 8 to 12 hours.",msmarco
166616,does gas cause bloating,"yes, as one of the most common symptoms of gas include bloating.",msmarco
1062014,why diabetes affects feet,because feet are very sensitive to the effects of diabetes.diabetes can lower the amount of blood flow in your feet.not having enough blood flowing to your legs and feet can make it hard for a sore or an infection to heal.,msmarco
572fd71ba23a5019007fca75,why did san diego lose its pueblo status in 1838?,its size dropped to an estimated 100 to 150 residents,squad2
4893648,can low blood pressure cause breathlessness?,"low blood pressure can affect other organs leading to shortness of breath, fainting, blacking out, chest pain, and cool, clammy skin.",gooaq
692229,can colon cancer cause high white blood cell count?,there was no significant association between wbc and the risk of rectal cancer. our findings demonstrate that an elevated wbc is associated with an increase in both the mortality and incidence rates of colon cancer. these results support our hypothesis that inflammation increases the risk of colon cancer.,gooaq
572f71d1b2c2fd140056812f,clinical evidence indicates that neuroticism is caused by what?,chronic pain,squad2
2935489884738649744,what is the main cause of conflict between india and pakistan?,kashmir issue,naturalquestions
2995878,what causes your blood pressure to jump?,"when you are stressed, your body sends stress hormones — adrenaline and cortisol — into the bloodstream. these hormones create a temporary spike in blood pressure, causing your heart to beat faster and blood vessels to narrow. when the stressful situation is over, blood pressure goes back to its normal level.",gooaq
3952439,why are alpha particles the most damaging?,"alpha particles lack the energy to penetrate even the outer layer of skin, so exposure to the outside of the body is not a major concern. ... the ionizations they cause are very close together - they can release all their energy in a few cells. this results in more severe damage to cells and dna.",gooaq
1071292,why is mitochondria maternally inherited,because they are supplied by the egg at fertilization.,msmarco
6535134773721322576,how did little egg harbor get its name?,the portion of a bay called egg harbor ( known today as little egg harbor ) by the dutch sailors because of the eggs found in nearby gull nests,naturalquestions
aedcde,Why is the flight/fight our defence mechanism when remaining calm and composed may serve better outcomes? ,"It might be better now, when faced with modern dangers, but the instinct was developed back when fighting or running was the appropriate response. What do you do when a 50 pound carnivore jumps out of the brush and rushes you? Fight it or run away, there isn't time to reason things out.",eli5
687720,can birth control cause vulvodynia?,it is important to note that all hormonal birth control pills have the potential to cause vulvodynia. the tissue in the vulvar vestibule has androgen receptors so the tissue needs adequate levels of estrogen and testosterone to stay healthy.,gooaq
-6202856558958382609,why had the united states bought the land in the gadsden purchase?,as a better route for the construction of the southern transcontinental railway line,naturalquestions
581583,what can cause your pulse to be low,metabolic diseases and damage to the heart structure.,msmarco
9zjez7,Why are rubber or vinyl disposable gloves so hard to put on with wet hands?,Because the water's stickiness pulls the thin gloves up against your fingers. The increased surface area contact and stickiness makes your fingers pull on the gloves instead of sliding past them.,eli5
572709795951b619008f850d,what bacterium causes tuberculosis infection?,mycobacterium tuberculosis,squad2
7rgtdj,Why do our joints and bones hurt when the wearther is changing?,"Changes in weather are accompanied, and in fact usually preceded, by changes in atmospheric pressure. 

Changes in atmospheric pressure affect the fluid pressure in your joints. Changes in fluid pressure in your joints hurts.",eli5
5726c8445951b619008f7df5,how did ibn sina escape from hamadan?,in the dress of a sufi ascetic,squad2
2995570,what causes white spots in your skin?,"vitiligo is caused by the lack of a pigment called melanin in the skin. melanin is produced by skin cells called melanocytes, and it gives your skin its colour. in vitiligo, there are not enough working melanocytes to produce enough melanin in your skin. this causes white patches to develop on your skin or hair.",gooaq
572a51a3b8ce0319002e2a9d,what can cause inflammatory diarrhea?,"bacterial infections, viral infections, parasitic infections, or autoimmune problems",squad2
4941105400369114094,why was hong kong important to the british empire?,a centre for international trade,naturalquestions
572825ad4b864d190016459a,why are annelid fossils rare?,annelids are soft-bodied,squad2
573091be2461fd1900a9ceae,why should aircraft that is only passing through an airspace contact tower control?,in order to be sure that they remain clear of other traffic,squad2
7s7m48,Why does only half of your body become paralyzed after a stroke? ,"A stroke is when blood flow in a part of the brain is cut off. As one side of our brains mostly controls one side of our body, damage in one area will tend to only impact motor skills for one half.",eli5
5n1ykt,Why does water have a strange taste after leaving it in a cup overnight? ,"Many possible reasons.

The cup may have soluble components that leach out. Plastic cups can do this.

Water fresh from the tap is often aerated by a small screen in the tap itself. For a while this aeration makes the water taste ""better"" to most people. Eventually the air all bubbles out, and the water tastes ""flat"".

Fresh water is often colder than room temperature, which most people prefer (as evidenced by iced drinks).",eli5
8016324785211016820,how did the case of wabash vs. illinois impact american commerce and travel?,severely limited the rights of states to control interstate commerce,naturalquestions
44842970784710782,why do farmers need to know the ph level of their soil?,soil ph is considered a master variable in soils as it affects many chemical processes . it specifically affects plant nutrient availability by controlling the chemical forms of the different nutrients and influencing the chemical reactions they undergo .,naturalquestions
84754,causes for ashen grey skin,inadequate oxygen circulation or perfusion.,msmarco
581532,what can cause tiredness and nausea,1 acute liver failure. 2 cancer. 3 chronic kidney disease. 4 food allergies. 5 hyperthyroidism.6 hypothyroidism.,msmarco
2994830,what causes signs of manic depressive disorder?,bipolar disorder is a complex disorder that likely stems from a combination of genetic and non-genetic factors. the mood episodes associated with it involve clinical depression or mania (extreme elation and high energy) with periods of normal mood and energy in between episodes.,gooaq
7903775,what happens to your cells if you drink salt water?,"you can drink the water, but ingesting it will pull water out of your cells as osmosis works to dilute the seawater. ironically, your cells will die of thirst, and you will also die.",gooaq
571b6a2f9499d21900609ca3,what feature in the treatment of asphalt in the workplace causes the most potential danger?,temperature,squad2
589931,what causes mucus in dogs stool,"larger amounts of mucus in stool, associated with diarrhea, may be caused by certain intestinal infections.",msmarco
-6687607247794534842,which is the most common cause of acute encephalitis in the united states?,herpes simplex infection,naturalquestions
581520,what can cause the pancreas to inflame,"high levels of fat in the blood, high levels of calcium in the blood, trauma to the pancreas and some drugs and toxins.",msmarco
585451,what causes armpit blisters,"conditions such as allergic contact dermatitis, psoriasis, yeast infection and skin tagging, according to webmd.",msmarco
4aqi5r,Why do we sweat when we eat spicy food? ,"Capsaicin, the chemical in spicy food responsible for the feeling of heat, actually triggers the same reaction in your body that *real* heat does. Your body thinks its the same thing, so it reacts the same way, by sweating.",eli5
56f8b7f99e9bad19000a0394,what discovery caused the model that one gene makes one protein to be refined?,the discovery of genes that can encode multiple proteins,squad2
572673e2f1498d1400e8e016,what machinery has lead to the easily made and widespread use of cotton?,cotton gin,squad2
85007,causes for second degree burns,scald injuries and flames.,msmarco
3999360,why does bph cause urgency?,"the most common phenomenon is detrusor overactivity (detrusor hyperreflexia) which is caused by supra-nuclear lesion of nerves innervating the detrusor. like unstable bladder in bph, this condition causes urinary urgency or urge inconti- nence. in spinal disease, detrusor-sphincter dyssynergia is often found.",gooaq
-6836410648905091071,why did the us fight the battle of iwo jima?,strategic value of the island,naturalquestions
67876,can hair products cause hair loss,"yes,hair products can cause hair loss.",msmarco
57292e273f37b319004780b6,what did efforts to track mixing between different groups lead to?,a proliferation of categories,squad2
86314,causes of enuresis in children,"obtructive sleep apnea, bladder infections, constipation, and diabetes.",msmarco
44wkh0,"In the U.S., why is milk sold in gallons, but soda is sold in a 2 liter? ","Sometime in the early 70's the US was going to attempt to move to the metric system.  During this time the 2L soda bottle was introduced.  While the US did not move to the metric system, the soda bottles remained.",eli5
994094,does government shutdown affect social security application?,"social security and disability checks will still go out for the duration of the shutdown. in contrast to previous shutdowns, no social security administration employees will be placed on furlough and all services will remain open.",gooaq
-1334903932512406462,why did the us navy stop using battleships?,the increasing importance of the aircraft carrier,naturalquestions
4027187,why is koenigsegg so expensive?,"because koenigsegg builds nearly every part in-house. much of the technology, like the pneumatically-actuated valve train and the metal-impregnated carbon weave, is developed internally as well. that r&d costs money, and the manufacturing methods are also considerably more expensive.",gooaq
3949514,why aes is better than des?,"aes data encryption is a more mathematically efficient and elegant cryptographic algorithm, but its main strength rests in the option for various key lengths. aes allows you to choose a 128-bit, 192-bit or 256-bit key, making it exponentially stronger than the 56-bit key of des.",gooaq
4006071,why does my stomach hurt when i eat meat?,"meat products are one of the most difficult foods for the human body to digest because the protein contained in meat (especially red meat) is harder for us to break down, and this can cause bloating. large amounts of fatty foods like meat make your stomach empty slower, which also causes bloating or discomfort.",gooaq
708364,can hemorrhoids cause erectile dysfunction?,"hemorrhoids may cause erectile dysfunction. men may be more likely to suffer from erectile dysfunction (ed) if they have previously been diagnosed with hemorrhoids, particularly if they are aged under 40 years, report researchers.",gooaq
4003574,why does my stomach and back hurt when i poop?,"the backup of stool in your colon or rectum could be causing the discomfort in your back. if your back pain is more severe, it could be due to a condition unrelated to your constipation such as: irritable bowel syndrome (ibs)",gooaq
5446393,how does biodiversity loss affect me and everyone else?,"biodiversity underpins the health of the planet and has a direct impact on all our lives. put simply, reduced biodiversity means millions of people face a future where food supplies are more vulnerable to pests and disease, and where fresh water is in irregular or short supply. for humans that is worrying.",gooaq
-8063852843007018572,what was the cause of the bleeding kansas?,a political and ideological debate over the legality of slavery in the proposed state of kansas,naturalquestions
4052142,why rhinos are poached in south africa?,"the most common reason for rhino poaching is to meet the high demand for their horns in asian countries, where the horn is predominantly used in traditional chinese medicine but is increasingly being used as a symbol of wealth and prosperity.",gooaq
2994226,what causes low blood pressure during pregnancy?,"it occurs because the circulation expands during pregnancy and hormonal changes cause the blood vessels to dilate, leading to a lowering of blood pressure. the blood pressure begins to fall in early pregnancy and is usually at its lowest sometime in the middle of the second trimester.",gooaq
-1470832024274478607,who prophesied that paris would be the cause of the fall of troy?,the seer aesacus,naturalquestions
431qgu,How does a blow to the head cause unconsciousness? ,"It is not so much the blow to the head that causes the problem but the forces associated with it. The skull does a great job absorbing the blow, but the forces cause your head to get pushed back pretty quickly. Your skull gets knocked back, but your brain is in a fluid and stays stationary. That causes your brain to hit your skull and the collision between the 2 causes bruising and swelling.

Imagine you are in a car driving 65 and your friend has a ball in the palm of their hand. You hit the brakes, and the car stops, but the tennis ball wants to keep going, so it flies forward into your windshield. It's the same principle, your skull is the car and the tennis ball is your brain.

The bruising and swelling can cause unconsciousness.",eli5
1073019,why is vitamin c needed for stress?,extra vitamin c in the form of supplementation or increased intake of vitamin c-rich foods is often recommended to keep the immune system working properly during times of stress.,msmarco
572b36debe1ee31400cb82af,why did hume say we expect the sun to rise?,because it has repeatedly done so in the past,squad2
4060956,why was the flsa established?,"the fair labor standards act, or flsa, was passed in 1938. it's a federal statute passed to protect workers from abuses that were occurring during the industrial revolution and great depression. ... it mandated that workers would be paid for overtime work. it created new laws regarding child labor.",gooaq
4043781,why learning is important for organization?,learning process will enable the organization to respond to the changes and new situations more quickly than its rivals. the ability of the organization to focus on organizational goals and secure staff commitment to their achievement will lead to far greater efficiency and a better quality of product or service.,gooaq
3bk5yp,Why is the TTIP seen as bad by the European public? ,"Firstly we are being kept in the dark. Experience has taught us that when politicians do things without giving us all the facts, it is generally bad for most people.   
Secondly there is a fear that Europe may have to accept lower standards for food and safety.",eli5
6333gf,Why do guys feel it in their stomach when they get hit in then balls? ,"In humans, the testicles start out life in the abdomen and descend through its lower wall, eventually ending up external to the body. This gives them a number of connections to the abdomen; they're basically wrapped in every layer of the abdominal wall. Their nerve supply comes from the abdomen as well, apparently resulting in what's called ""referred pain,"" where pain is felt in places not involved in the injury.",eli5
-6513465328331177702,what was the main cause of the irish civil war?,anglo - irish treaty,naturalquestions
72226,can parkinson's cause neuropathy,"yes, parkinson's can cause peripheral neuropathy.",msmarco
7755058863788352957,why did france help the colonists fight in the american revolution?,to weaken britain,naturalquestions
2201971,is borderline personality disorder caused by bad parenting?,"myth: bad parenting causes bpd fact: parents are all too often blamed for all kinds of problems in their children, but there is absolutely no evidence that bad parenting causes bpd.",gooaq
213420,how did freddie gray die,freddie gray died because of injuries to his spinal cord.,msmarco
4053534,why sftp called a secure protocol?,"answer: as a file transfer protocol, sftp is secure. sftp protects the integrity of your files and data by using encryption and it authenticates the server as well as the end user in the transfer. most ftp clients support sftp connections.",gooaq
746800,can over exfoliating cause rough skin?,"dehydrated, crepey skin all skin can become dehydrated and over-exfoliation is a quick way to experience it. dehydration can manifest as dry, rough, or crepey skin.",gooaq
-874540927849838196,cause of joint pain in deep sea divers?,decompression sickness,naturalquestions
57314df805b4da19006bd016,why do monarchs sometimes wear red?,to be visible from a distance in a crowd,squad2
698151,can drinking too much water cause you to lose electrolytes?,"electrolytes (sodium, potassium, magnesium, chloride and calcium) need to be in balance in order to maintain healthy blood, heart rhythm, muscle function and other important functions. drinking too much water, can cause the electrolyte levels in the body to get out of whack and cause sodium levels plummet.",gooaq
-976734033085813798,why do the swiss put bells on their cows?,to scare off any predators,naturalquestions
583747,what cause dandruff in head,"dry skin, seborrhoeic dermatitis, not cleaning/scrubbing often enough, shampooing too often, psoriasis, eczema, sensitivity to hair care products, or a yeast-like fungus.",msmarco
5728cd713acd2414000dfee3,what is a condition that can cause symptoms of astham in children?,allergic rhinitis and sinusitis,squad2
4027933,why is may 1st called may day?,"the origin of our present holiday lies in the fight for an eight-hour working day, in which cause the leaders of the socialist second international called for an international day of protest to be held at the beginning of may 1890.",gooaq
48lgw3,"If I am playing a 1080p game on a 1080p screen, why does the game/console need me to adjust the screen sometimes? ","It's because TVs generally have overscan by default. That means the TV cuts off the edges and stretches the rest of the image. This is a throwback to old analog TV, but for some reason modern TVs still do it.

You can disable it by changing the picture mode to something like 'just scan'. Unfortunately different TVs call it something different so it may be hard to find on your TV.",eli5
163uh4,"Why don't words sound ""real"" after we say them a lot, once after the other? I've always wondered why this happens, and I feel like most people understand what I'm talking about... 

Say I say ""saucer"" a few dozen times. It doesn't sound like a real word anymore, until much later after I've forgotten. Any reason why?","Semantic satiation is a psychological phenomenon in which repetition causes a word or phrase to temporarily lose meaning for the listener, **who then processes the speech as repeated meaningless sounds.**",eli5
4058167,why unpaid internships are bad?,"offering unpaid internships limits opportunities for young people whose families cannot afford to finance the experience, and has policy implications that contribute to the institutionalization of socioeconomic disparities. often, congressional internships lead to employment in a congressional office.",gooaq
4055611,why take lemon water in the morning?,it aids digestion some people drink lemon water as a daily morning laxative to help prevent constipation. drinking warm or hot lemon water when you wake up may help get your digestive system moving. ayurvedic medicine says the sour lemon taste helps stimulate your “agni.”,gooaq
6y1egw,"If there is a correlation between more weight and heart disease why is it, seemingly, only considered detrimental if you increase your weight due to fat but considered healthy if you increase your weight due to muscle?","The correlation between heart disease and weight is specific to being fat and therefore weighing more not being very muscular and weighing more due to that. Also, it is relatively easy to gain 100 pound of fat as opposed to 100 pounds of muscles which is nearly impossible.

The stress on the heart isn't really due to weight but because the resistance of the blood vessels rises as they become clogged with fat (to put it ELI5, not technically). People who are athletic and muscular tend to have healthy blood vessels and the heart actually works less because exercise strengthens the heart. Of course, there are the extreme cases where athletes hearts become abnormally large and they have sudden heart attacks but that is relatively rare and happens with extreme athletes.",eli5
5233211032610729739,why were 11 miles of the cuckoo trail sold in 1986?,to reduce expenditure,naturalquestions
2896727,what are the negative effects of eating fast food?,"long-term effects of eating junk food eating a poor quality diet high in junk food is linked to a higher risk of obesity, depression, digestive issues, heart disease and stroke, type 2 diabetes, cancer, and early death. and as you might expect, frequency matters when it comes to the impact of junk food on your health.",gooaq
4021059,why is constantinople so important?,"constantinople was important for the expansion of the ottoman empire. when the ottoman turks took the city, it was a symbol of the rise of islam and the fall of the center of christianity, making the ottoman empire the most powerful in all of south eastern europe and marking the end of the eastern roman empire.",gooaq
-8695735692592186042,how did the mexican revolution affect the subject matter of mexican muralists?,social and political messages as part of efforts to reunify the country under the post mexican revolution government,naturalquestions
6sag7t,What causes wired headphones/earbuds to break in such a way that sound is only received in one earbud?,"The cord for those headphones contains three wires. One is the left signal, one is the right signal, and one is the ground. If you break exactly one of those wires, you will lose sound on one side, unless you broke the ground in which case RIP.

Manipulation of the cable can sometimes move the broken inner metal wire parts such that they reconnect. The most common place for the broken wire to occur is near the jack.",eli5
1170679,side effects of lidocaine topical,"side effects of lidocaine topical are similar in nature to those observed with other amide local anesthetic agents, including cns excitation and/or depression which are light-headedness, nervousness, apprehension, euphoria, confusion, dizziness, drowsiness, tinnitus, blurred or double vision, vomiting, sensations of heat, cold or numbness, twitching, tremors, convulsions, unconsciousness, respiratory depression and arrest.",msmarco
5199905,does left ventricular hypertrophy causes chest pain?,"the condition usually develops over time, and most symptoms occur when the condition causes complications. the most common symptoms of lvh are: feeling short of breath. chest pain, especially after activity.",gooaq
6118336201238562785,what causes the closing of the aortic semilunar valve?,"when the pressure in the left ventricle decreases , the aortic pressure forces the aortic valve to close",naturalquestions
5011950092265004263,explain damaging effects of burning of coal and petroleum?,"hundreds of millions of tons of solid waste products annually , including fly ash , bottom ash , and flue - gas desulfurization sludge , that contain mercury , uranium , thorium , arsenic , and other heavy metals .",naturalquestions
7072668666172181385,why is the bombardier beetle not harmed by the chemicals it stores?,resultant pressure buildup forces the entrance valves from the reactant storage chambers to close,naturalquestions
570bfb6dec8fbc190045bbf4,why were problems created when transferring files between systems?,"the inherent ambiguity of many control characters, combined with their historical usage",squad2
3999915,why does drinking water increase urine output?,"the kidneys can adjust the concentration of the urine to reflect the body's water needs, conserving water if the body is dehydrated or making urine more dilute to expel excess water when necessary. adh is a hormone that helps the body to retain water by increasing water reabsorption by the kidneys.",gooaq
810261,what is the cause of floaters in the eye,"it can be clumpy or stringy; light or dark. they are caused by clumps of tissue embedded in the gel-like fluid (vitreous) in the back of the eye, which cast shadows on the retina when light enters the eye.",msmarco
2521604106622763190,what causes the tide to come in and out?,the combined effects of the gravitational forces exerted by the moon and the sun,naturalquestions
3969692,why are nmos faster than pmos?,"in a nmos, carriers are electrons, while in a pmos, carriers are holes. ... nmos are considered to be faster than pmos, since the carriers in nmos, which are electrons, travel twice as fast as holes, which are the carriers in pmos. but pmos devices are more immune to noise than nmos devices.",gooaq
572973313f37b319004783f4,how does the water molecule impact the effect of magnetic fields on protons?,"the protons are said to be ""shielded"" from the applied magnetic field by the electrons in the water molecule",squad2
4045796,why molecular geometry is important?,"it is important to be able to predict and understand the molecular structure of a molecule because many of the properties of a substance are determined by its geometry. ... molecular geometry may also be used to predict biological activity, to design drugs or decipher the function of a molecule.",gooaq
5732bf5c328d981900602042,why did new york state ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers,squad2
5726f8ad5951b619008f83ab,why did india stop supporting the military in myanmar in 2008 ?,over the issue of human rights abuses by the ruling junta,squad2
1069333,why is alcohol always an issue when taking medications?,"because it can make them less effective, cause harmful side effects or make them toxic to your system.",msmarco
170539,does pregnancy cause smells,"yes, pregnancy changes the way you smell.",msmarco
589878,what causes morton's neuroma,"high heels, shoes that are tight or ill fitting, irritation, pressure or injury to of the nerves of toes.",msmarco
442093,long term effects of untreated carpal tunnel syndrome,"permanent numbness and weakness in the hand. the numbness shows up in your thumb, index, middle, and half of your ring finger",msmarco
-8020019767884488388,why is the pericycle part of the vascular cylinder?,because it arises from the procambium as do the vascular tissues it surrounds,naturalquestions
4362500850673955572,why companies form a suitable organisation for sales of their products?,ensuring that products reach target customers,naturalquestions
4049957,why performance management is important for an organization?,"effective performance management is essential to businesses. through both formal and informal processes, it helps them align their employees, resources, and systems to meet their strategic objectives. ... organizations that get performance management right become formidable competitive machines.",gooaq
1064788,why do i have swollen gums when pregnant,"hormonal changes during pregnancy can make your gums more vulnerable to plaque, leading to inflammation and bleeding.",msmarco
744908,can old compression fractures cause pain?,"compression fractures may or may not cause symptoms. if compression fractures cause symptoms, these may include: pain in back, arms, or legs. numbness and/or weakness in arms or legs (if the fracture has affected the spinal cord and/or surrounding nerves in the spine)",gooaq
570fa05680d9841400ab35dd,what three factors do scientists believe are the cause of sexual orientation?,"genetic, hormonal, and environmental",squad2
-7006145497848125609,what is the acute infection caused by the epstein-barr virus?,"infectious mononucleosis , also known as ' glandular fever ' , ' mono ' and ' pfeiffer 's disease '",naturalquestions
572ed0fadfa6aa1500f8d3fb,what type of storms can cause most activity to stop?,nor'easter snowstorms,squad2
1926150892870782042,what effect did the districting cases of baker v. carr and wesberry v. sanders have?,requires each state to draw its u.s. congressional districts so that they are approximately equal in population,naturalquestions
88916,causes of urine smell on body while sweating,trimethylamine,msmarco
